weight_class,title_fight,card_section,card_position,event_venue_country,red_age,blue_age,red_height,blue_height,red_reach,blue_reach,red_stance,blue_stance,red_prior_fights,blue_prior_fights,red_prior_wins,blue_prior_wins,red_prior_win_rate,blue_prior_win_rate,red_prior_finish_wins,blue_prior_finish_wins,red_prior_finish_rate,blue_prior_finish_rate,red_prior_avg_duration,blue_prior_avg_duration,red_days_since_last_fight,blue_days_since_last_fight,age_diff,height_diff,reach_diff,prior_fights_diff,prior_win_rate_diff,prior_finish_rate_diff,prior_avg_duration_diff,days_since_last_fight_diff,stance_matchup,y_red_win
W_STRAWWEIGHT,0,PRELIMS,9,USA,34.73511293634497,38.313483915126625,165.1,162.56,167.64,165.1,southpaw,southpaw,9.0,13.0,8.0,9.0,0.8888888888888888,0.6923076923076923,6.0,5.0,0.75,0.5555555555555556,10.360000000000001,10.11923076923077,217.0,189.0,-3.578370978781656,2.539999999999992,2.539999999999992,-4.0,0.19658119658119655,0.19444444444444442,0.2407692307692315,28.0,southpaw_vs_southpaw,1
LIGHTWEIGHT,0,PRELIMS,8,USA,29.39630390143737,36.602327173169066,177.8,172.72,182.88,175.26,southpaw,southpaw,9.0,12.0,6.0,6.0,0.6666666666666666,0.5,3.0,3.0,0.5,0.5,11.648888888888889,9.899166666666666,566.0,497.0,-7.206023271731695,5.0800000000000125,7.6200000000000045,-3.0,0.16666666666666663,0.0,1.749722222222223,69.0,southpaw_vs_southpaw,0
BANTAMWEIGHT,0,MAIN_CARD,6,USA,21.10335386721424,33.90554414784394,175.26,167.64,,177.8,,orthodox,0.0,3.0,0.0,1.0,0.0,0.3333333333333333,0.0,1.0,0.0,1.0,,11.123333333333335,,133.0,-12.802190280629702,7.6200000000000045,,-3.0,-0.3333333333333333,-1.0,,,Unknown_vs_orthodox,1
MIDDLEWEIGHT,0,PRELIMS,7,USA,34.327173169062284,31.32101300479124,182.88,185.42,189.23,187.96,orthodox,orthodox,3.0,10.0,0.0,4.0,0.0,0.4,0.0,3.0,0.0,0.75,11.176666666666664,8.022,168.0,105.0,3.0061601642710443,-2.539999999999992,1.2699999999999818,-7.0,-0.4,-0.75,3.154666666666664,63.0,orthodox_vs_orthodox,0
BANTAMWEIGHT,0,MAIN_CARD,2,USA,38.220396988364136,27.1129363449692,172.72,165.1,181.61,167.64,orthodox,orthodox,19.0,2.0,12.0,2.0,0.631578947368421,1.0,7.0,1.0,0.5833333333333334,0.5,13.057894736842107,9.814999999999998,203.0,168.0,11.107460643394937,7.6200000000000045,13.970000000000027,17.0,-0.368421052631579,0.08333333333333337,3.242894736842109,35.0,orthodox_vs_orthodox,0
LIGHTWEIGHT,0,MAIN_CARD,3,USA,31.107460643394933,37.01848049281314,170.18,175.26,177.8,172.72,orthodox,orthodox,9.0,16.0,5.0,9.0,0.5555555555555556,0.5625,1.0,3.0,0.2,0.3333333333333333,13.503333333333332,10.783125,168.0,119.0,-5.9110198494182065,-5.079999999999984,5.0800000000000125,-7.0,-0.00694444444444442,-0.1333333333333333,2.720208333333332,49.0,orthodox_vs_orthodox,1
FEATHERWEIGHT,0,MAIN_CARD,1,USA,30.704996577686515,28.711841204654345,180.34,170.18,184.15,175.26,orthodox,orthodox,8.0,6.0,5.0,6.0,0.625,1.0,3.0,5.0,0.6,0.8333333333333334,10.60125,8.36,154.0,154.0,1.9931553730321703,10.159999999999997,8.890000000000015,2.0,-0.375,-0.2333333333333334,2.241250000000001,0.0,orthodox_vs_orthodox,1
LIGHTWEIGHT,0,MAIN_CARD,5,USA,32.95003422313484,40.65160848733744,175.26,175.26,182.88,187.96,orthodox,orthodox,16.0,16.0,9.0,10.0,0.5625,0.625,4.0,7.0,0.4444444444444444,0.7,10.174375,9.771249999999998,28.0,238.0,-7.701574264202598,0.0,-5.0800000000000125,0.0,-0.0625,-0.25555555555555554,0.40312500000000107,-210.0,orthodox_vs_orthodox,1
MIDDLEWEIGHT,0,MAIN_CARD,4,USA,33.889117043121146,33.828884325804246,175.26,182.88,180.34,190.5,southpaw,orthodox,25.0,10.0,14.0,4.0,0.56,0.4,6.0,3.0,0.42857142857142855,0.75,13.2848,9.303,98.0,119.0,0.060232717316900164,-7.6200000000000045,-10.159999999999997,15.0,0.16000000000000003,-0.32142857142857145,3.9818,-21.0,southpaw_vs_orthodox,1
HEAVYWEIGHT,0,MAIN_CARD,1,USA,31.534565366187543,27.15126625598905,187.96,195.58,182.88,198.12,orthodox,orthodox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,4.383299110198493,-7.6200000000000045,-15.240000000000009,0.0,0.0,0.0,,,orthodox_vs_orthodox,0
